iter	Passed	Remaining
464	753	867
465	754	864
466	755	862
467	756	860
468	758	858
469	759	856
470	761	855
471	762	853
472	763	851
473	765	849
474	766	846
475	767	844
476	768	842
477	769	840
478	770	838
479	772	836
480	773	834
481	775	833
482	777	832
483	778	830
484	780	828
485	781	826
486	782	824
487	783	822
488	785	820
489	786	818
490	787	816
491	789	814
492	790	813
493	792	811
494	793	809
495	794	807
496	795	805
497	796	803
498	797	801
499	798	798
500	800	796
501	801	794
502	802	792
503	803	791
504	805	789
505	807	788
506	809	786
507	810	785
508	812	783
509	813	781
510	814	779
511	815	777
512	816	774
513	817	773
514	818	771
515	820	769
516	821	767
517	822	765
518	824	763
519	825	762
520	826	760
521	827	758
522	829	756
523	830	754
524	831	751
525	832	750
526	834	748
527	835	747
528	837	745
529	839	744
530	840	742
531	841	740
532	846	741
533	847	739
534	848	737
535	850	736
536	851	734
537	853	732
538	854	730
539	855	728
540	856	726
541	857	724
542	858	722
543	859	720
544	861	718
545	862	716
546	863	714
547	864	712
548	865	710
549	866	709
550	868	707
551	869	705
552	870	703
553	871	701
554	872	699
555	873	697
556	875	695
557	876	694
558	877	692
559	878	690
560	879	688
561	881	687
562	882	685
563	884	683
564	885	681
565	886	680
566	888	678
567	889	676
568	890	674
569	891	672
570	892	670
571	893	668
572	894	666
573	895	664
574	897	663
575	898	661
576	899	659
577	900	657
578	901	655
579	902	653
580	904	652
581	905	650
582	907	648
583	908	647
584	909	645
585	910	643
586	912	641
587	913	640
588	914	638
589	916	636
590	917	635
591	919	633
592	920	631
593	921	629
594	922	628
595	923	626
596	925	624
597	926	622
598	928	621
599	929	619
600	931	618
601	932	616
602	934	615
603	935	613
604	936	611
605	937	609
606	938	607
607	939	605
608	940	604
609	942	602
610	943	600
611	945	599
612	946	597
613	947	595
614	948	593
615	949	592
616	950	590
617	952	588
618	953	586
619	954	584
620	955	583
621	956	581
622	957	579
623	959	578
624	960	576
625	961	574
626	963	572
627	963	570
628	964	569
629	965	567
630	967	565
631	968	563
632	969	561
633	970	560
634	971	558
635	973	557
636	975	555
637	977	554
638	978	553
639	980	551
640	982	550
641	983	548
642	984	546
643	986	545
644	988	544
645	990	542
646	991	540
647	992	539
648	994	537
649	995	536
650	997	534
651	998	533
652	1000	531
653	1001	530
654	1003	528
655	1005	527
656	1006	525
657	1007	523
658	1009	522
659	1011	521
660	1013	519
661	1014	518
662	1016	516
663	1017	514
664	1019	513
665	1020	511
666	1022	510
667	1023	508
668	1025	507
669	1026	505
670	1027	503
671	1029	502
672	1030	500
673	1032	499
674	1035	498
675	1036	496
676	1037	495
677	1039	493
678	1040	491
679	1042	490
680	1043	488
681	1044	487
682	1046	485
683	1047	484
684	1050	482
685	1051	481
686	1052	479
687	1054	478
688	1055	476
689	1057	475
690	1058	473
691	1060	471
692	1061	470
693	1063	468
694	1065	467
695	1067	466
696	1069	464
697	1070	463
698	1071	461
699	1073	460
700	1074	458
701	1076	456
702	1077	455
703	1078	453
704	1080	452
705	1081	450
706	1083	448
707	1084	447
708	1085	445
709	1086	443
710	1088	442
711	1089	440
712	1090	439
713	1092	437
714	1093	435
715	1094	434
716	1096	432
717	1097	431
718	1098	429
719	1100	427
720	1101	426
721	1102	424
722	1103	422
723	1105	421
724	1106	419
725	1107	418
726	1108	416
727	1110	414
728	1111	413
729	1112	411
730	1114	409
731	1115	408
732	1116	406
733	1118	405
734	1119	403
735	1120	401
736	1121	400
737	1122	398
738	1123	396
739	1125	395
740	1126	393
741	1127	392
742	1128	390
743	1130	388
744	1131	387
745	1132	385
746	1133	383
747	1134	382
748	1135	380
749	1136	378
750	1137	377
751	1139	375
752	1140	374
753	1141	372
754	1143	370
755	1144	369
756	1147	368
757	1148	366
758	1149	365
759	1150	363
760	1151	361
761	1153	360
762	1154	358
763	1155	356
764	1156	355
765	1158	353
766	1159	352
767	1161	350
768	1162	349
769	1164	347
770	1165	346
771	1166	344
772	1168	343
773	1169	341
774	1171	339
775	1172	338
776	1174	336
777	1175	335
778	1177	333
779	1178	332
780	1180	330
781	1181	329
782	1182	327
783	1183	326
784	1185	324
785	1186	323
786	1188	321
787	1189	320
788	1191	318
789	1192	317
790	1193	315
791	1194	313
792	1195	312
793	1196	310
794	1198	308
795	1199	307
796	1200	305
797	1201	304
798	1203	302
799	1204	301
800	1205	299
801	1206	297
802	1208	296
803	1209	294
804	1210	293
805	1211	291
806	1212	289
807	1213	288
808	1214	286
809	1215	285
810	1217	283
811	1218	282
812	1219	280
813	1220	278
814	1221	277
815	1223	275
816	1224	274
817	1225	272
818	1226	271
819	1227	269
820	1228	267
821	1229	266
822	1231	264
823	1232	263
824	1234	261
825	1235	260
826	1236	258
827	1238	257
828	1239	255
829	1240	254
830	1241	252
831	1242	250
832	1244	249
833	1245	247
834	1246	246
835	1247	244
836	1249	243
837	1250	241
838	1251	240
839	1252	238
840	1253	237
841	1255	235
842	1256	233
843	1257	232
844	1258	230
845	1260	229
846	1261	227
847	1262	226
848	1264	224
849	1265	223
850	1267	221
851	1268	220
852	1269	218
853	1270	217
854	1272	215
855	1273	214
856	1274	212
857	1275	211
858	1277	209
859	1278	208
860	1280	206
861	1281	205
862	1282	203
863	1284	202
864	1285	200
865	1286	199
866	1288	197
867	1289	196
868	1290	194
869	1291	193
870	1293	191
871	1294	190
872	1295	188
873	1297	187
874	1298	185
875	1300	184
876	1301	182
877	1302	181
878	1303	179
879	1305	177
880	1306	176
881	1307	174
882	1308	173
883	1310	171
884	1311	170
885	1312	168
886	1313	167
887	1315	165
888	1317	164
889	1318	163
890	1320	161
891	1321	159
892	1322	158
893	1324	157
894	1326	155
895	1327	154
896	1328	152
897	1329	151
898	1330	149
899	1331	147
900	1332	146
901	1334	144
902	1335	143
903	1336	141
904	1337	140
905	1338	138
906	1340	137
907	1341	135
908	1343	134
909	1344	132
910	1345	131
911	1346	129
912	1348	128
913	1349	126
914	1350	125
915	1351	123
916	1352	122
917	1354	120
918	1355	119
919	1357	118
920	1358	116
921	1359	115
922	1360	113
923	1362	112
924	1363	110
925	1364	109
926	1365	107
927	1366	106
928	1367	104
929	1369	103
930	1370	101
931	1372	100
932	1373	98
933	1375	97
934	1376	95
935	1377	94
936	1378	92
937	1379	91
938	1381	89
939	1382	88
940	1383	86
941	1385	85
942	1386	83
943	1388	82
944	1389	80
945	1391	79
946	1392	77
947	1393	76
948	1394	74
949	1395	73
950	1397	71
951	1398	70
952	1399	69
953	1401	67
954	1402	66
955	1404	64
956	1405	63
957	1406	61
958	1408	60
959	1409	58
960	1410	57
961	1411	55
962	1412	54
963	1414	52
964	1415	51
965	1417	49
966	1418	48
967	1419	46
968	1421	45
969	1422	43
970	1423	42
971	1424	41
972	1425	39
973	1427	38
974	1428	36
975	1430	35
976	1432	33
977	1433	32
978	1434	30
979	1435	29
980	1436	27
981	1438	26
982	1439	24
983	1440	23
984	1442	21
985	1443	20
986	1445	19
987	1447	17
988	1448	16
989	1449	14
990	1451	13
991	1452	11
992	1453	10
993	1454	8
994	1456	7
995	1457	5
996	1458	4
997	1459	2
998	1460	1
999	1462	0
