iter	RMSE
149	4.977096446
150	4.97513173
151	4.971073294
152	4.967606281
153	4.962139695
154	4.958501593
155	4.955458774
156	4.952210407
157	4.949560523
158	4.945417711
159	4.940164043
160	4.934340386
161	4.930223905
162	4.922704881
163	4.920049307
164	4.914432242
165	4.908219428
166	4.902511016
167	4.897634061
168	4.894087719
169	4.891846406
170	4.887074852
171	4.882075906
172	4.879717166
173	4.876746032
174	4.868949084
175	4.86228759
176	4.856254673
177	4.850840769
178	4.846703748
179	4.844484036
180	4.839384998
181	4.835957559
182	4.832279473
183	4.828959305
184	4.825519677
185	4.82233129
186	4.81749728
187	4.809282133
188	4.802209114
189	4.798944266
190	4.796283228
191	4.792689462
192	4.78835994
193	4.7861908
194	4.7829086
195	4.776179057
196	4.773868071
197	4.773636374
198	4.769158125
199	4.766350401
200	4.764528346
201	4.762149378
202	4.75892719
203	4.755778893
204	4.754423971
205	4.752170136
206	4.749912685
207	4.741926727
208	4.737534178
209	4.735963524
210	4.731522695
211	4.727612397
212	4.723559261
213	4.722927629
214	4.720667943
215	4.716894102
216	4.713611966
217	4.709032961
218	4.705315403
219	4.702526376
220	4.698290198
221	4.694782482
222	4.692416195
223	4.687752779
224	4.685778602
225	4.681038812
226	4.67667483
227	4.672512969
228	4.666784631
229	4.6623444
230	4.6598495
231	4.655938436
232	4.654894155
233	4.651605404
234	4.647683021
235	4.641813166
236	4.637351651
237	4.634611502
238	4.631503733
239	4.626756929
240	4.623687776
241	4.621591166
242	4.618512283
243	4.618203375
244	4.613662404
245	4.610260699
246	4.605605335
247	4.603395315
248	4.601172996
249	4.596141606
250	4.59202951
251	4.589516293
252	4.588780409
253	4.586350186
254	4.579930418
255	4.575897806
256	4.574085881
257	4.573475185
258	4.571746985
259	4.568935969
260	4.563754931
261	4.562110138
262	4.559814621
263	4.555265022
264	4.551993402
265	4.551678962
266	4.548386272
267	4.542916533
268	4.541931335
269	4.536709881
270	4.534121202
271	4.532166789
272	4.528128057
273	4.523031582
274	4.520904455
275	4.520058136
276	4.511804296
277	4.50848717
278	4.503426729
279	4.501223913
280	4.495780375
281	4.494358578
282	4.489880698
283	4.487581991
284	4.486427649
285	4.481111458
286	4.480838047
287	4.478774204
288	4.475263377
289	4.473270675
290	4.470005115
291	4.464569401
292	4.461851204
293	4.459141585
294	4.453521513
295	4.450693008
296	4.447242329
297	4.443012472
298	4.44122177
299	4.437415458
300	4.43657325
301	4.431877676
302	4.429072303
303	4.424452756
304	4.422398637
305	4.41849135
306	4.415263361
307	4.408324858
308	4.405709085
309	4.401114046
310	4.397479331
311	4.391093637
312	4.38767946
313	4.382977669
314	4.377621851
315	4.373884507
316	4.366773144
317	4.363225479
318	4.358250085
319	4.353155694
320	4.347750455
321	4.345401526
322	4.344439672
323	4.337886966
324	4.33380633
325	4.331089662
326	4.325010227
327	4.320264944
328	4.315913154
329	4.312173028
330	4.309594326
331	4.309009866
332	4.3058664
333	4.30060183
334	4.299410844
335	4.295050349
336	4.29161922
337	4.288951336
338	4.28599534
339	4.282919269
340	4.281272829
341	4.277374108
342	4.276715449
343	4.272754379
344	4.270304704
345	4.26799271
346	4.266246647
347	4.260972535
348	4.260369134
349	4.25754079
350	4.255093013
351	4.252391601
352	4.249349766
353	4.249014866
354	4.24339257
355	4.240760805
356	4.234572288
357	4.233289293
358	4.231064354
359	4.229221097
360	4.226287846
361	4.222959254
362	4.216424105
363	4.21381303
364	4.211611408
365	4.20857909
366	4.204223502
367	4.202699191
368	4.199843021
369	4.197307589
370	4.194938663
371	4.193597021
372	4.189447626
373	4.188836448
374	4.1868988
375	4.181107979
376	4.180863037
377	4.175829718
378	4.17437127
379	4.171733736
380	4.16580867
381	4.164045774
382	4.161351479
383	4.160078153
384	4.159482579
385	4.157778413
386	4.154725922
387	4.154051648
388	4.149868563
389	4.146329488
390	4.141904886
391	4.137846853
392	4.13505732
393	4.130985473
394	4.127571044
395	4.12439361
396	4.121087778
397	4.119359663
398	4.118914507
399	4.117325472
400	4.114234931
401	4.112260132
402	4.110130853
403	4.107965981
404	4.106565966
405	4.100672031
406	4.098936202
407	4.093264994
408	4.090718047
409	4.087106882
410	4.082481623
411	4.08063388
412	4.079635676
413	4.076288956
414	4.075233199
415	4.069737057
416	4.069037653
417	4.067538351
418	4.065465313
419	4.064837381
420	4.06390944
421	4.063655208
422	4.0618082
423	4.060463813
424	4.057912723
425	4.055229328
426	4.052852598
427	4.050813447
428	4.048789397
429	4.046194267
430	4.043923429
431	4.041516796
432	4.040117057
433	4.035264242
434	4.032712263
435	4.032029871
436	4.027713302
437	4.023915985
438	4.021336339
439	4.019022707
440	4.01699392
441	4.014752856
442	4.012189258
443	4.008777065
444	4.006294699
445	4.005615099
446	4.00513203
447	4.003573504
448	3.997476949
449	3.995296237
450	3.993646612
451	3.990170679
452	3.988364106
453	3.98628984
454	3.984069961
455	3.981451321
456	3.9774596
457	3.975087014
458	3.974888214
459	3.974120395
460	3.967449583
461	3.963021583
462	3.959358615
463	3.954046975
464	3.953890811
465	3.949365168
466	3.949169094
467	3.944546365
468	3.942517645
469	3.942376078
470	3.941092054
471	3.940682993
472	3.937483608
473	3.934784908
474	3.934627728
475	3.933837407
476	3.931863314
477	3.929766747
478	3.926888823
479	3.922183251
480	3.920114698
481	3.918331016
482	3.916412066
483	3.91417449
484	3.910948627
485	3.905420417
486	3.904063637
487	3.902601948
488	3.900785169
489	3.8969845
490	3.894959822
491	3.891488361
492	3.891315246
493	3.888539807
494	3.888163067
495	3.883370954
496	3.881827129
497	3.878227596
498	3.875795155
499	3.873376346
500	3.87026121
501	3.867552471
502	3.865778793
503	3.863954482
504	3.860628436
505	3.859295001
506	3.855591242
507	3.854405205
508	3.851822229
509	3.847035141
510	3.844058422
511	3.843914048
512	3.843487202
513	3.841721291
514	3.840428573
515	3.838311477
516	3.834397081
517	3.829688095
518	3.826862752
519	3.822458558
520	3.822020896
521	3.820559154
522	3.816580457
523	3.816411838
524	3.814112267
525	3.809125164
526	3.80645256
527	3.802793434
528	3.800160374
529	3.797456322
530	3.796928218
531	3.795058518
532	3.791772926
533	3.789629556
534	3.786397209
535	3.786148711
536	3.783379952
537	3.780974422
538	3.778422162
539	3.774476131
540	3.7712748
541	3.766178315
542	3.765812613
543	3.761894519
544	3.760927332
545	3.756439448
546	3.756198435
547	3.755653095
548	3.755264693
549	3.753054695
550	3.750048432
551	3.748201354
552	3.747125166
553	3.744433745
554	3.739498371
555	3.738301499
556	3.735433228
557	3.732505022
558	3.730924942
559	3.728963954
560	3.725882198
561	3.721264967
562	3.718627478
563	3.717138154
564	3.712895742
565	3.712764401
566	3.711603487
567	3.71074044
568	3.710010145
569	3.707773037
570	3.70509923
571	3.702746892
572	3.700354265
573	3.69925058
574	3.696479005
575	3.696296724
576	3.694447673
577	3.693313425
578	3.691599062
579	3.689211001
580	3.684929618
581	3.681504593
582	3.680190706
583	3.679948601
584	3.677960082
585	3.675271423
586	3.674533733
587	3.674350451
588	3.670486485
589	3.66654295
590	3.665329257
591	3.662707968
592	3.659971156
593	3.658855934
594	3.654370387
595	3.653607302
596	3.652187695
597	3.648728288
598	3.645210767
599	3.640672122
600	3.638438299
601	3.636908707
602	3.636532982
603	3.633207603
604	3.632072784
605	3.628477455
606	3.626562497
607	3.623276154
608	3.621367581
609	3.621011991
610	3.620890599
611	3.616954522
612	3.615991007
613	3.615314604
614	3.613009035
615	3.608810739
616	3.604797973
617	3.601899437
618	3.600087451
619	3.596076861
620	3.595656844
621	3.591831546
622	3.589557925
623	3.588433809
624	3.586580019
625	3.586364501
626	3.583334064
627	3.583257107
628	3.582089239
629	3.580387447
630	3.578084535
631	3.577491348
632	3.576697424
633	3.574898855
634	3.573763941
635	3.571690373
636	3.570458832
637	3.568948334
638	3.568566818
639	3.564719601
640	3.560258792
641	3.558974655
642	3.558367531
643	3.557774125
644	3.557594981
645	3.554925711
646	3.551369233
647	3.547320489
648	3.545892123
649	3.544355081
650	3.542112847
651	3.539017129
652	3.536980117
653	3.536367483
654	3.535512558
655	3.53504908
656	3.533573966
657	3.533414995
658	3.533102346
659	3.531046327
660	3.529783721
661	3.529595023
662	3.527072359
663	3.524692319
664	3.521365555
665	3.519166185
666	3.519056487
667	3.517836265
668	3.513867462
669	3.509035361
670	3.508859256
671	3.506798744
672	3.506312273
673	3.505231088
674	3.503270457
675	3.500240345
676	3.498936952
677	3.498833887
678	3.496677597
679	3.49485885
680	3.493149557
681	3.491340223
682	3.488781562
683	3.485703088
684	3.484931522
685	3.484307019
686	3.482729944
687	3.48170744
688	3.478147791
689	3.476316111
690	3.474872134
691	3.473273114
692	3.471389505
693	3.471024894
694	3.469795785
695	3.468824909
696	3.466175339
697	3.462206655
698	3.46006602
699	3.459331436
700	3.458830023
701	3.456446293
702	3.455351693
703	3.452662122
704	3.451123449
705	3.448967792
706	3.446918167
707	3.445927586
708	3.445316503
709	3.44339595
710	3.441880779
711	3.44055822
712	3.436819679
713	3.434615861
714	3.433173603
715	3.431294733
716	3.430311715
717	3.426973182
718	3.424299401
719	3.421982343
720	3.419231633
721	3.415687122
722	3.414409617
723	3.413709272
724	3.413152489
725	3.410671828
726	3.40754505
727	3.407167081
728	3.405519701
729	3.402442207
730	3.40211865
731	3.401228865
732	3.400037594
733	3.398734431
734	3.397125362
735	3.394867179
736	3.393675666
737	3.390775504
738	3.38994146
739	3.387195495
740	3.385302415
741	3.385197502
742	3.383711104
743	3.382149567
744	3.380474318
745	3.379895049
746	3.376635253
747	3.374773634
748	3.3741114
749	3.371714808
750	3.370405571
751	3.36967056
752	3.368284949
753	3.364999529
754	3.364798485
755	3.363772353
756	3.363236778
757	3.361264188
758	3.357323061
759	3.35353808
760	3.350153959
761	3.348684279
762	3.34803127
763	3.346385534
764	3.34354047
765	3.343155745
766	3.342890805
767	3.342382374
768	3.338697144
769	3.337118448
770	3.334828863
771	3.333306088
772	3.331476376
773	3.329756534
774	3.329656349
775	3.327529503
776	3.327211755
777	3.326099918
778	3.325857809
779	3.323894548
780	3.32139225
781	3.318573196
782	3.317627713
783	3.314876443
784	3.312941856
785	3.312783386
786	3.31162083
787	3.308700406
788	3.306928682
789	3.30620618
790	3.304311513
791	3.304081145
792	3.30340553
793	3.300977988
794	3.299680641
795	3.297898782
796	3.296173249
797	3.294719696
798	3.292533303
799	3.292199934
800	3.290438755
801	3.288792483
802	3.285055672
803	3.284536672
804	3.283452253
805	3.280345012
806	3.279572954
807	3.278174249
808	3.276718977
809	3.275011072
810	3.272034157
811	3.269639072
812	3.268436093
813	3.266970244
814	3.263880225
815	3.260959868
816	3.257733633
817	3.255557454
818	3.254290512
819	3.25080609
820	3.248951576
821	3.248834794
822	3.245717811
823	3.245545417
824	3.244381174
825	3.242501175
826	3.240648002
827	3.239746377
828	3.238913047
829	3.238435024
830	3.23787748
831	3.236779887
832	3.234180792
833	3.234065643
834	3.233286644
835	3.232796098
836	3.231203365
837	3.227600094
838	3.226480123
839	3.226168206
840	3.224360367
841	3.223205858
842	3.22168202
843	3.220220378
844	3.219543369
845	3.21933254
846	3.218487389
847	3.216650314
848	3.215415526
849	3.215307678
850	3.212955571
851	3.212884178
852	3.212112188
853	3.210818695
854	3.209896223
855	3.20963002
856	3.208550285
857	3.206155581
858	3.205320581
859	3.202896919
860	3.201680173
861	3.200487333
862	3.199720449
863	3.198331917
864	3.197406034
865	3.196996042
866	3.19460689
867	3.193139682
868	3.190900829
869	3.190152111
870	3.187200841
871	3.187099167
872	3.185085564
873	3.184696809
874	3.18376143
875	3.183291156
876	3.180153151
877	3.179977001
878	3.179105104
879	3.177873185
880	3.177813311
881	3.174320088
882	3.174238395
883	3.171695572
884	3.170070895
885	3.167903068
886	3.16483864
887	3.162138177
888	3.16113476
889	3.160377318
890	3.15951821
891	3.157808775
892	3.155204122
893	3.152267558
894	3.150035925
895	3.149461874
896	3.148890201
897	3.147071404
898	3.14478558
899	3.144717018
900	3.140934631
901	3.138781412
902	3.137602942
903	3.135996378
904	3.133803405
905	3.133737018
906	3.133285906
907	3.131112528
908	3.130745833
909	3.127502562
910	3.127420878
911	3.126092675
912	3.125590039
913	3.124954242
914	3.124241472
915	3.123853242
916	3.121778501
917	3.11932061
918	3.118117051
919	3.117944496
920	3.11690152
921	3.115932189
922	3.115350606
923	3.11434574
924	3.113835246
925	3.112583912
926	3.112527722
927	3.112454041
928	3.111293544
929	3.110199807
930	3.109696734
931	3.107833356
932	3.106416774
933	3.105536686
934	3.103223355
935	3.101004305
936	3.099626371
937	3.096581252
938	3.095631546
939	3.094790794
940	3.093163939
941	3.09084323
942	3.089734466
943	3.088101934
944	3.086579611
945	3.085342509
946	3.083370116
947	3.082128355
948	3.081014408
949	3.079445643
950	3.078075136
951	3.075341932
952	3.074127928
953	3.073593019
954	3.070609863
955	3.068949207
956	3.067856807
957	3.067278858
958	3.066540099
959	3.065287824
960	3.064334351
961	3.063988429
962	3.061469994
963	3.061066858
964	3.05945085
965	3.057241929
966	3.056512146
967	3.055573764
968	3.054582705
969	3.05449636
970	3.052853999
971	3.049719167
972	3.049375392
973	3.047514893
974	3.043770326
975	3.04329454
976	3.042456097
977	3.039207275
978	3.038580918
979	3.035974492
980	3.034798427
981	3.034578431
982	3.032720621
983	3.032397908
984	3.030126875
985	3.02831201
986	3.027464566
987	3.026964825
988	3.026589657
989	3.025785445
990	3.024915621
991	3.02424801
992	3.022515136
993	3.021604688
994	3.020971397
995	3.020062748
996	3.019082077
997	3.01901894
998	3.018748277
999	3.017676054
